dt,open_price,high,low,close_price,volume
2015-02-11 18:20:00,123.76,123.88,123.67,123.85,652910
2015-02-11 18:25:00,123.84,124.02,123.78,124.02,479498
2015-02-11 18:30:00,124.01,124.11,123.96,124.01,499088
2015-02-11 18:35:00,124.02,124.08,123.94,124.03,403788
2015-02-11 18:40:00,124.03,124.09,123.97,124.03,381597
2015-02-11 18:45:00,124.03,124.16,123.99,124.15,438232
2015-02-11 18:50:00,124.16,124.20,124.11,124.19,371496
2015-02-11 18:55:00,124.19,124.24,124.16,124.20,386790
2015-02-11 19:00:00,124.19,124.35,124.05,124.23,793148
2015-02-11 19:05:00,124.23,124.35,124.22,124.34,618729
2015-02-11 19:10:00,124.34,124.53,124.33,124.50,1014435
2015-02-11 19:15:00,124.50,124.51,124.40,124.48,541778
2015-02-11 19:20:00,124.49,124.53,124.33,124.36,636910
2015-02-11 19:25:00,124.37,124.48,124.30,124.47,446316
2015-02-11 19:30:00,124.47,124.56,124.41,124.51,630647
2015-02-11 19:35:00,124.51,124.65,124.50,124.62,823388
2015-02-11 19:40:00,124.63,124.70,124.60,124.67,721191
2015-02-11 19:45:00,124.67,124.70,124.53,124.57,544906
2015-02-11 19:50:00,124.57,124.69,124.52,124.66,518947
2015-02-11 19:55:00,124.66,124.73,124.63,124.70,609180
2015-02-11 20:00:00,124.70,124.76,124.61,124.71,723759
2015-02-11 20:05:00,124.71,124.78,124.70,124.75,635764
2015-02-11 20:10:00,124.74,124.85,124.60,124.64,1199295
2015-02-11 20:15:00,124.64,124.64,124.49,124.54,857143
2015-02-11 20:20:00,124.54,124.59,124.45,124.59,662756
2015-02-11 20:25:00,124.59,124.74,124.54,124.73,717023
2015-02-11 20:30:00,124.74,124.92,124.73,124.86,1262891
2015-02-11 20:35:00,124.87,124.89,124.71,124.74,886225
2015-02-11 20:40:00,124.74,124.85,124.74,124.80,662017
2015-02-11 20:45:00,124.80,124.92,124.75,124.90,890550
2015-02-11 20:50:00,124.89,124.92,124.67,124.78,958692
2015-02-11 20:55:00,124.78,124.80,124.68,124.75,1053617
2015-02-11 21:00:00,124.76,124.89,124.73,124.88,3827712
2015-02-12 14:30:00,126.06,126.15,125.89,125.90,1333210
2015-02-12 14:35:00,125.98,126.54,125.84,126.46,3416008
2015-02-12 14:40:00,126.43,127.14,126.43,127.06,3316808
2015-02-12 14:45:00,127.07,127.12,126.51,126.70,2464327
2015-02-12 14:50:00,126.74,126.97,126.63,126.93,1715551
2015-02-12 14:55:00,126.93,127.03,126.80,126.99,1728472
2015-02-12 15:00:00,126.98,127.19,126.88,127.15,1713550
2015-02-12 15:05:00,127.15,127.24,127.05,127.17,1324393
2015-02-12 15:10:00,127.17,127.48,127.14,127.46,1801157
2015-02-12 15:15:00,127.45,127.47,127.13,127.20,1265248
2015-02-12 15:20:00,127.20,127.32,127.03,127.12,1329211
2015-02-12 15:25:00,127.11,127.16,126.87,126.91,1298407
2015-02-12 15:30:00,126.90,127.00,126.75,126.85,1177895
2015-02-12 15:35:00,126.85,126.99,126.83,126.94,1155793
2015-02-12 15:40:00,126.95,126.96,126.70,126.80,1183994
2015-02-12 15:45:00,126.78,126.99,126.72,126.92,926407
2015-02-12 15:50:00,126.92,127.10,126.90,127.06,1098625
2015-02-12 15:55:00,127.06,127.14,126.81,126.82,1026478
2015-02-12 16:00:00,126.82,126.98,126.82,126.96,694802
2015-02-12 16:05:00,126.95,127.11,126.88,127.05,635614
2015-02-12 16:10:00,127.05,127.09,126.79,126.86,661220
2015-02-12 16:15:00,126.86,126.91,126.72,126.83,743310
2015-02-12 16:20:00,126.83,126.85,126.57,126.59,788260
2015-02-12 16:25:00,126.58,126.59,126.22,126.33,1557637
2015-02-12 16:30:00,126.33,126.49,126.28,126.41,895275
2015-02-12 16:35:00,126.41,126.49,126.33,126.42,692997
2015-02-12 16:40:00,126.43,126.48,126.30,126.34,610982
2015-02-12 16:45:00,126.34,126.35,125.77,125.78,2031173
2015-02-12 16:50:00,125.78,125.94,125.57,125.94,1586490
2015-02-12 16:55:00,125.93,126.23,125.87,126.19,1100011
2015-02-12 17:00:00,126.19,126.22,126.03,126.17,648345
2015-02-12 17:05:00,126.16,126.40,126.14,126.34,674059
2015-02-12 17:10:00,126.34,126.49,126.30,126.43,629919
2015-02-12 17:15:00,126.43,126.46,126.27,126.39,601814
2015-02-12 17:20:00,126.41,126.58,126.38,126.55,447812
2015-02-12 17:25:00,126.55,126.66,126.45,126.57,720620
2015-02-12 17:30:00,126.57,126.63,126.53,126.61,410965
2015-02-12 17:35:00,126.61,126.74,126.57,126.61,650038
2015-02-12 17:40:00,126.61,126.65,126.43,126.50,467425
2015-02-12 17:45:00,126.51,126.64,126.50,126.60,355734
2015-02-12 17:50:00,126.60,126.62,126.40,126.41,432638
2015-02-12 17:55:00,126.41,126.45,126.26,126.45,479310
2015-02-12 18:00:00,126.45,126.48,126.36,126.41,281119
2015-02-12 18:05:00,126.41,126.46,126.34,126.40,321053
2015-02-12 18:10:00,126.40,126.58,126.32,126.35,523984
2015-02-12 18:15:00,126.34,126.50,126.27,126.29,412232
2015-02-12 18:20:00,126.28,126.29,126.10,126.12,515214
2015-02-12 18:25:00,126.11,126.15,125.92,126.03,734738
2015-02-12 18:30:00,126.03,126.17,125.94,126.12,635264
2015-02-12 18:35:00,126.12,126.34,126.12,126.30,557937
2015-02-12 18:40:00,126.30,126.38,126.23,126.36,371408
2015-02-12 18:45:00,126.37,126.53,126.32,126.48,551859
2015-02-12 18:50:00,126.47,126.51,126.31,126.36,467022
2015-02-12 18:55:00,126.36,126.50,126.32,126.44,323969
2015-02-12 19:00:00,126.44,126.57,126.41,126.52,547108
2015-02-12 19:05:00,126.52,126.55,126.35,126.39,326061
2015-02-12 19:10:00,126.40,126.55,126.24,126.50,423418
2015-02-12 19:15:00,126.51,126.52,126.42,126.44,382586
2015-02-12 19:20:00,126.44,126.45,126.30,126.44,481698
2015-02-12 19:25:00,126.44,126.45,126.36,126.38,289088
2015-02-12 19:30:00,126.39,126.42,126.25,126.35,448635
2015-02-12 19:35:00,126.35,126.38,126.18,126.26,371023
2015-02-12 19:40:00,126.24,126.34,126.17,126.24,326187
2015-02-12 19:45:00,126.24,126.58,126.18,126.58,651965
2015-02-12 19:50:00,126.57,126.61,126.48,126.60,464238
2015-02-12 19:55:00,126.60,126.62,126.42,126.45,468225
2015-02-12 20:00:00,126.44,126.49,126.42,126.45,268269
2015-02-12 20:05:00,126.46,126.46,126.30,126.31,384357
2015-02-12 20:10:00,126.31,126.34,126.22,126.31,406928
2015-02-12 20:15:00,126.31,126.38,126.29,126.33,320950
2015-02-12 20:20:00,126.32,126.43,126.24,126.35,399852
2015-02-12 20:25:00,126.35,126.52,126.34,126.51,476425
2015-02-12 20:30:00,126.50,126.51,126.38,126.39,343567
2015-02-12 20:35:00,126.40,126.45,126.21,126.25,465545
2015-02-12 20:40:00,126.25,126.31,126.16,126.28,461435
2015-02-12 20:45:00,126.27,126.45,126.27,126.33,612827
2015-02-12 20:50:00,126.33,126.46,126.32,126.45,561084
2015-02-12 20:55:00,126.46,126.56,126.43,126.46,890677
2015-02-12 21:00:00,126.46,126.49,126.38,126.42,3190774
2015-02-13 14:30:00,127.28,127.28,127.15,127.25,933002
2015-02-13 14:35:00,127.21,127.26,126.50,126.78,2184917
2015-02-13 14:40:00,126.78,126.92,126.54,126.90,1310321
2015-02-13 14:45:00,126.89,126.95,126.41,126.52,1173318
2015-02-13 14:50:00,126.51,126.82,126.28,126.79,1211779
2015-02-13 14:55:00,126.78,126.82,126.45,126.77,762383
2015-02-13 15:00:00,126.78,126.79,126.55,126.55,681267
2015-02-13 15:05:00,126.57,126.79,126.47,126.47,765580
2015-02-13 15:10:00,126.48,126.66,126.21,126.28,1135069
2015-02-13 15:15:00,126.28,126.50,126.23,126.44,742776
2015-02-13 15:20:00,126.43,126.58,126.36,126.44,526747
2015-02-13 15:25:00,126.43,126.46,126.20,126.38,699390
2015-02-13 15:30:00,126.37,126.45,126.17,126.31,834858
2015-02-13 15:35:00,126.31,126.36,126.16,126.22,668226
2015-02-13 15:40:00,126.22,126.31,126.11,126.13,846456
2015-02-13 15:45:00,126.13,126.14,125.65,125.87,1738218
2015-02-13 15:50:00,125.86,125.95,125.73,125.78,874980
2015-02-13 15:55:00,125.78,125.99,125.77,125.91,748833
2015-02-13 16:00:00,125.90,126.10,125.86,126.08,668562
2015-02-13 16:05:00,126.08,126.31,126.07,126.21,632215
2015-02-13 16:10:00,126.22,126.28,126.08,126.19,486090
2015-02-13 16:15:00,126.20,126.25,126.15,126.18,348982
2015-02-13 16:20:00,126.18,126.20,126.15,126.17,290521
2015-02-13 16:25:00,126.16,126.21,126.00,126.07,458338
2015-02-13 16:30:00,126.08,126.10,125.86,125.88,454167
2015-02-13 16:35:00,125.89,125.99,125.81,125.99,558179
2015-02-13 16:40:00,125.99,126.03,125.85,125.97,339382
2015-02-13 16:45:00,125.97,126.18,125.96,126.17,328129
2015-02-13 16:50:00,126.17,126.28,126.12,126.23,363732
2015-02-13 16:55:00,126.23,126.25,126.13,126.19,286666
